"Quốc gia","Tỉnh/Thành phố",Quận/Huyện,"Zip/Postal Code From","Zip/Postal Code To","Trọng lượng From","Trọng lượng To","Shipping Price","Delivery Type"
DEU,*,,,,5001.0000,5500.0000,1437480.0000,"Normal Shipping"
DEU,*,,,,13001.0000,13500.0000,2956360.0000,"Normal Shipping"
DEU,*,,,,1001.0000,1500.0000,1394910.0000,"Express Saver"
DEU,*,,,,9001.0000,9500.0000,4636830.0000,"Express Saver"
DEU,*,,,,4501.0000,5000.0000,1342550.0000,"Normal Shipping"
DEU,*,,,,12501.0000,13000.0000,2861430.0000,"Normal Shipping"
DEU,*,,,,8501.0000,9000.0000,4434210.0000,"Express Saver"
DEU,*,,,,501.0000,1000.0000,1192290.0000,"Express Saver"
DEU,*,,,,4001.0000,4500.0000,1247620.0000,"Normal Shipping"
DEU,*,,,,12001.0000,12500.0000,2766500.0000,"Normal Shipping"
DEU,*,,,,8001.0000,8500.0000,4231590.0000,"Express Saver"
DEU,*,,,,0.0000,500.0000,989670.0000,"Express Saver"
DEU,*,,,,3501.0000,4000.0000,1152690.0000,"Normal Shipping"
DEU,*,,,,11501.0000,12000.0000,2671570.0000,"Normal Shipping"
DEU,*,,,,7501.0000,8000.0000,4028970.0000,"Express Saver"
DEU,*,,,,15001.0000,15500.0000,7068270.0000,"Express Saver"
DEU,*,,,,3001.0000,3500.0000,1057760.0000,"Normal Shipping"
DEU,*,,,,11001.0000,11500.0000,2576640.0000,"Normal Shipping"
DEU,*,,,,7001.0000,7500.0000,3826350.0000,"Express Saver"
DEU,*,,,,14501.0000,15000.0000,6865650.0000,"Express Saver"
DEU,*,,,,2501.0000,3000.0000,962830.0000,"Normal Shipping"
DEU,*,,,,10501.0000,11000.0000,2481710.0000,"Normal Shipping"
DEU,*,,,,6501.0000,7000.0000,3623730.0000,"Express Saver"
DEU,*,,,,2001.0000,2500.0000,867900.0000,"Normal Shipping"
DEU,*,,,,10001.0000,10500.0000,2386780.0000,"Normal Shipping"
DEU,*,,,,14001.0000,14500.0000,6663030.0000,"Express Saver"
DEU,*,,,,6001.0000,6500.0000,3421110.0000,"Express Saver"
DNK,*,,,,14001.0000,14500.0000,5606480.0000,"Express Saver"
DNK,*,,,,6001.0000,6500.0000,2876720.0000,"Express Saver"
DNK,*,,,,1501.0000,2000.0000,693550.0000,"Normal Shipping"
DNK,*,,,,9501.0000,10000.0000,2354990.0000,"Normal Shipping"
DNK,*,,,,13501.0000,14000.0000,5435870.0000,"Express Saver"
DNK,*,,,,5501.0000,6000.0000,2706110.0000,"Express Saver"
DNK,*,,,,1001.0000,1500.0000,589710.0000,"Normal Shipping"
DNK,*,,,,9001.0000,9500.0000,2251150.0000,"Normal Shipping"
DNK,*,,,,5001.0000,5500.0000,2535500.0000,"Express Saver"
DNK,*,,,,13001.0000,13500.0000,5265260.0000,"Express Saver"
DNK,*,,,,501.0000,1000.0000,485870.0000,"Normal Shipping"
DNK,*,,,,8501.0000,9000.0000,2147310.0000,"Normal Shipping"
DNK,*,,,,4501.0000,5000.0000,2364890.0000,"Express Saver"
DNK,*,,,,12501.0000,13000.0000,5094650.0000,"Express Saver"
